head,URL,Cuisines,PhoneNumber,AverageCost
Yumlane Pizza,https://www.zomato.com/bangalore/yumlane-pizza-indiranagar-bangalore,"Pizza, Fast Food, Desserts, Beverages",9.19E+11,250
Mad Over Donuts,https://www.zomato.com/bangalore/mad-over-donuts-1-indiranagar-bangalore,"Desserts, Beverages",9.20E+11,100
Bakingo,https://www.zomato.com/bangalore/bakingo-thippasandra-bangalore,"Bakery, Desserts",9.20E+11,350
Sattvam,https://www.zomato.com/bangalore/sattvam-whitefield-bangalore,"North Indian, South Indian",9.16E+11,1500
Starbucks Coffee,https://www.zomato.com/bangalore/starbucks-coffee-indiranagar-bangalore,"Coffee, Desserts, Beverages",9.12E+12,600
Madurai Idly Shop,https://www.zomato.com/bangalore/madurai-idly-shop-indiranagar,"South Indian, Chinese",9.19E+11,300
Aligarh House,https://www.zomato.com/bangalore/aligarh-house-1-indiranagar-bangalore,"Biryani, North Indian, Kebab, Desserts, Beverages",9.20E+11,250
Samosa Party,https://www.zomato.com/bangalore/samosa-party-1-jeevan-bhima-nagar,"Fast Food, Beverages, Burger, Tea",9.18E+11,200
Delicacy,https://www.zomato.com/bangalore/delicacy-frazer-town,"Chinese, Thai",9.17E+11,500
Rolls On Wheels,https://www.zomato.com/bangalore/rolls-on-wheels-indiranagar,"Rolls, Chinese, North Indian",9.19E+11,300
Laddoos,https://www.zomato.com/bangalore/laddoos-jeevan-bhima-nagar,"Mithai, North Indian, Beverages, Fast Food, Street Food, Desserts",9.19E+11,300
Chinese Wok - Wok Express,https://www.zomato.com/bangalore/chinese-wok-wok-express-indiranagar-bangalore,"Momos, Chinese",9.18E+11,200
The Biryani Life,https://www.zomato.com/bangalore/the-biryani-life-indiranagar-bangalore,"Fast Food, North Indian, Desserts, Beverages",9.20E+11,250
Peetuk,https://www.zomato.com/bangalore/peetuk-domlur-bangalore,"Bengali, Biryani, Rolls",9.19E+11,200
Ghee And Turmeric,https://www.zomato.com/bangalore/ghee-and-turmeric-indiranagar-bangalore,"North Indian, Mughlai",9.20E+11,350
The Hangout,https://www.zomato.com/bangalore/the-hangout-mg-road-bangalore,"Pizza, Burger, Fast Food, Sandwich, Rolls",9.20E+11,300
Magnolia Bakery,https://www.zomato.com/bangalore/magnolia-bakery-indiranagar-bangalore,"Bakery, Desserts",9.20E+11,300
RS Shiv Sagar,https://www.zomato.com/bangalore/rs-shiv-sagar-mg-road,"North Indian, South Indian, Asian, Continental, Chinese, Desserts",9.18E+11,500
IDC Kitchen ,https://www.zomato.com/bangalore/idc-kitchen-indiranagar-bangalore,South Indian,9.19E+11,200
Itminaan Biryani - Dum Pukht,https://www.zomato.com/bangalore/itminaan-biryani-dum-pukht-indiranagar-bangalore,"Biryani, Mughlai, North Indian",9.18E+11,250
Dum Biryani Adda,https://www.zomato.com/bangalore/dum-biryani-adda-1-jeevan-bhima-nagar-bangalore,"Biryani, North Indian",9.17E+11,200
Chowman,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore,"Chinese, Asian, Thai, Oriental",18008902150,800
Just Shawarma,https://www.zomato.com/bangalore/just-shawarma-indiranagar-bangalore,"Lebanese, Fast Food, Beverages",9.20E+11,100
Udupi Krishna Grand,https://www.zomato.com/bangalore/udupi-krishna-grand-kalyan-nagar-bangalore,"South Indian, North Indian, Street Food, Biryani, Beverages, Chinese, Shake",9.19E+11,500
Orbis Restaurant,https://www.zomato.com/bangalore/orbis-restaurant-indiranagar-bangalore,"Mughlai, Biryani, North Indian, Arabian, Chinese, Beverages, Desserts",9.19E+11,750
Sri Udupi Grand,https://www.zomato.com/bangalore/sri-udupi-grand-brigade-road-bangalore,"South Indian, North Indian, Chinese, Beverages, Shake",9.20E+11,300
Empire Juices And Ice Creams,https://www.zomato.com/bangalore/empire-juices-and-ice-creams-indiranagar-bangalore,"Shake, Ice Cream, Desserts, Beverages",9.17E+11,100
Ambur Dum Biriyani,https://www.zomato.com/bangalore/ambur-dum-biriyani-1-indiranagar,"Biryani, Kebab",9.19E+11,200
Donne Biriyani Mane,https://www.zomato.com/bangalore/donne-biriyani-mane-cv-raman-nagar-bangalore,"Biryani, South Indian, Chinese, North Indian",9.19E+11,400
The Good Bowl,https://www.zomato.com/bangalore/the-good-bowl-indiranagar-bangalore,"North Indian, Mughlai",9.19E+11,200
UBQ By Barbeque Nation,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-indiranagar-bangalore,"North Indian, Kebab, BBQ, Biryani",9.19E+11,250
ibaco,https://www.zomato.com/bangalore/ibaco-indiranagar-bangalore,Desserts,9.18E+11,250
NH1 Bowls - Highway To North,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-indiranagar-bangalore,"North Indian, Kebab, Desserts",9.18E+11,200
Sangam Sweets,https://www.zomato.com/bangalore/sangam-sweets-koramangala-3rd-block,"Mithai, Street Food, Fast Food",9.18E+11,250
Snack House,https://www.zomato.com/bangalore/snack-house-thippasandra-bangalore,"Street Food, Momos",9.18E+11,150
Juice Junction,https://www.zomato.com/bangalore/juice-junction-st-marks-road,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food",9.18E+11,250
Keventers - Milkshakes & Desserts,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore,"Beverages, Desserts, Ice Cream, Shake",9.19E+11,200
Sangam Mess,https://www.zomato.com/bangalore/sangam-mess-kammanahalli,"South Indian, Biryani, North Indian, Chinese, Seafood, Beverages",9.18E+11,300
Roti Ghar Ki,https://www.zomato.com/bangalore/roti-ghar-ki-1-cv-raman-nagar-bangalore,North Indian,9.19E+11,100
Shahi Family Restaurant,https://www.zomato.com/bangalore/shahi-family-restaurant-ulsoor-bangalore,"North Indian, Chinese, South Indian, Biryani",9.20E+11,450
"Frozen Bottle - Milkshakes, Desserts and Ice Cream",https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-indiranagar-bangalore,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",9.18E+11,200
AB's - Absolute Barbecues,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",9.17E+11,1200
Odia Dine,https://www.zomato.com/bangalore/odia-dine-airport-road,"North Indian, Odia",9.20E+11,300
Motis Kitchen,https://www.zomato.com/bangalore/motis-kitchen-thippasandra,"South Indian, Kerala, Chinese, Seafood, Chettinad, North Indian",9.20E+11,350
Bullet Biryani,https://www.zomato.com/bangalore/bullet-biryani-indiranagar-bangalore,"Biryani, Fast Food",9.18E+11,150
New Tandoor,https://www.zomato.com/bangalore/new-tandoor-cv-raman-nagar,"North Indian, Chinese, Mughlai, Rolls, Biryani, Seafood",9.18E+11,600
Taj Hotel,https://www.zomato.com/bangalore/taj-hotel-shivajinagar,"Mughlai, Chinese, South Indian, North Indian",9.18E+11,500
New Punjabi Hotel,https://www.zomato.com/bangalore/new-punjabi-hotel-indiranagar,"North Indian, Chinese",9.18E+11,400
Cupcake Bliss Cakes & Desserts,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-indiranagar-bangalore,"Bakery, Desserts",9.18E+11,300
Kailash Parbat,https://www.zomato.com/bangalore/kailash-parbat-indiranagar-bangalore,"Chinese, North Indian, Street Food, Fast Food, Desserts, Beverages",9.20E+11,1100
EasyBites by Empire,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore,"Burger, Fast Food, Beverages",9.18E+11,100
Kaati Zone Rolls And Wraps,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-indiranagar-bangalore,"Rolls, Sandwich",9.18E+11,150
7 Plates,https://www.zomato.com/bangalore/7-plates-frazer-town,"North Indian, Mughlai, Rolls, Chinese",9.20E+11,200
Hotel Navayuga,https://www.zomato.com/bangalore/hotel-navayuga-majestic,"Andhra, Biryani",9.19E+11,300
Siddique Kabab Centre,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town,"Mughlai, Chinese, North Indian, Rolls",9.20E+11,400
Auntie Fung's,https://www.zomato.com/bangalore/auntie-fungs-indiranagar-bangalore,"Asian, Thai, Vietnamese, Japanese, Indonesian, Chinese, Korean, Burmese",9.20E+11,300
Moriz Nano Restaurant,https://www.zomato.com/bangalore/moriz-nano-restaurant-ulsoor,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake",9.18E+11,700
Biryani Day,https://www.zomato.com/bangalore/biryani-day-marathahalli,"North Indian, Chinese, Biryani",9.20E+11,700
Five Star Chicken & Koli Hut,https://www.zomato.com/bangalore/five-star-chicken-koli-hut-cv-raman-nagar-bangalore,"Fast Food, Kebab, Chettinad",9.17E+11,300
Just Bake,https://www.zomato.com/bangalore/just-bake-1-marathahalli,"Bakery, Desserts, Fast Food",9.19E+11,350
Zaatar,https://www.zomato.com/bangalore/zaatar-old-madras-road-bangalore,"BBQ, Arabian, Salad, Chinese, North Indian, Mughlai, Desserts, Beverages",9.18E+11,1000
Malabar Hotel,https://www.zomato.com/bangalore/malabar-hotel-kaggadasapura-bangalore,"Kerala, Chinese, North Indian",9.20E+11,350
Ammas Donne Biriyani House,https://www.zomato.com/bangalore/ammas-donne-biriyani-house-indiranagar-bangalore,Biryani,9.20E+11,100
Tawakkal Mubarak Hotel,https://www.zomato.com/bangalore/tawakkal-mubarak-hotel-airport-road,"Mughlai, Biryani",9.19E+11,350
The Red Box,https://www.zomato.com/bangalore/the-red-box-indiranagar-bangalore,"Chinese, Thai",9.20E+11,250
Biryani Blues,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore,"Biryani, Kebab, Hyderabadi",9.18E+11,250
Aubree,https://www.zomato.com/bangalore/aubree-mg-road-bangalore,"Fast Food, Italian, Thai",9.20E+11,900
