head,URL,Cuisines,PhoneNumber,AverageCost
Ranganna Military Hotel,https://www.zomato.com/bangalore/ranganna-military-hotel-jayanagar,South Indian,9.18E+11,350
Namma Kudla,https://www.zomato.com/bangalore/namma-kudla-jp-nagar,"Mangalorean, North Indian, Chinese, Biryani",9.19E+11,450
24/7 Juice N Snacks Hub,https://www.zomato.com/bangalore/24-7-juice-n-snacks-hub-koramangala-5th-block-bangalore,"Fast Food, North Indian",9.20E+11,100
Paratha Meal Co,https://www.zomato.com/bangalore/paratha-meal-co-koramangala-5th-block-bangalore,"North Indian, Desserts",9.20E+11,300
SLN Tasty Corner,https://www.zomato.com/bangalore/sln-tasty-corner-basavanagudi-bangalore,South Indian,9.17E+11,100
Oven Theory Pizza,https://www.zomato.com/bangalore/oven-theory-pizza-2-btm-bangalore,"Pizza, Fast Food",9.20E+11,350
Roti Curry & Co,https://www.zomato.com/bangalore/roti-curry-co-koramangala-7th-block-bangalore,"North Indian, Desserts",9.20E+11,300
Kabab Magic,https://www.zomato.com/bangalore/kabab-magic-jayanagar,"North Indian, Kebab, Hyderabadi, Beverages",9.18E+11,400
KFC,https://www.zomato.com/bangalore/kfc-jp-nagar-bangalore,"Burger, Fast Food, Biryani, Desserts, Beverages",9.19E+11,500
Burger King,https://www.zomato.com/bangalore/burger-king-1-bannerghatta-road,"Burger, Fast Food, Beverages, Desserts",9.20E+11,400
Sandwich Guru,https://www.zomato.com/bangalore/sandwich-guru-bannerghatta-road-bangalore,"Sandwich, Fast Food, Beverages, Juices, Shake",9.20E+11,100
Subway,https://www.zomato.com/bangalore/subway-1-jp-nagar,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",9.18E+11,400
Nandhini Paradise,https://www.zomato.com/bangalore/nandhini-paradise-jp-nagar,"Andhra, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages",9.20E+11,700
XO Belgian Waffle,https://www.zomato.com/bangalore/xo-belgian-waffle-btm,"Desserts, Beverages, Waffle, Shake",9.18E+11,400
The Cake Chef,https://www.zomato.com/bangalore/the-cake-chef-bannerghatta-road-bangalore,"Bakery, Desserts",9.20E+11,350
Vinaya Cafe,https://www.zomato.com/bangalore/vinaya-cafe-jp-nagar,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Beverages, Shake",9.18E+11,400
Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-1-jp-nagar-bangalore,"Wraps, Burger, Rolls, Fast Food, Street Food",9.19E+11,400
Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-1-jp-nagar,"Mithai, Street Food, Desserts",9.18E+11,400
Al-Bek,https://www.zomato.com/bangalore/al-bek-jp-nagar-bangalore,"Mughlai, Arabian, North Indian, Chinese",9.18E+11,100
Polar Bear,https://www.zomato.com/bangalore/polar-bear-jp-nagar,"Ice Cream, Beverages, Shake",9.18E+11,350
WOW! Momo,https://www.zomato.com/bangalore/wow-momo-bannerghatta-road-bangalore,"Momos, Fast Food, Tibetan",9.19E+11,400
Amma's Pastries,https://www.zomato.com/bangalore/ammas-pastries-jp-nagar-bangalore,"Bakery, Desserts",9.18E+11,400
A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-bannerghatta-road,"South Indian, Fast Food, Street Food, Ice Cream, Beverages, North Indian, Chinese",18001036363,800
Mani's Dum Biryani,https://www.zomato.com/bangalore/manis-dum-biryani-jp-nagar,"Biryani, Kebab",9.20E+11,800
Goli Vada Pav No.1,https://www.zomato.com/bangalore/goli-vada-pav-no-1-3-jp-nagar-bangalore,"Street Food, Fast Food, Burger, Ice Cream, Desserts",9.20E+11,100
FreshMenu,https://www.zomato.com/FreshMenuJPNagar,"Continental, North Indian, Biryani",9.18E+11,200
Lassi Shop,https://www.zomato.com/bangalore/lassi-shop-jp-nagar,"Beverages, Ice Cream, Desserts, Shake",9.19E+11,100
Kwality Wallâ€™s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-6-jp-nagar-bangalore,Ice Cream,9.19E+11,100
Biryani Trip,https://www.zomato.com/bangalore/biryani-trip-jp-nagar-bangalore,Biryani,9.18E+11,250
Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-bannerghatta-road,"Ice Cream, Beverages",9.18E+11,300
EatFit,https://www.zomato.com/bangalore/eatfit-btm-bangalore,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages",9.20E+11,200
WarmOven Cake & Desserts,https://www.zomato.com/bangalore/warmoven-cake-desserts-btm-bangalore,"Bakery, Desserts",9.18E+11,350
Chaatimes,https://www.zomato.com/bangalore/chaatimes-jp-nagar-bangalore,"Street Food, Fast Food",9.19E+11,100
Cakewala,https://www.zomato.com/bangalore/cakewala-jp-nagar,"Bakery, Desserts",9.18E+11,400
Meat & Eat,https://www.zomato.com/bangalore/meat-eat-jp-nagar-bangalore,"Burger, Fast Food, Desserts, Beverages, BBQ, Sandwich, Finger Food",9.18E+11,150
Chai Point,https://www.zomato.com/bangalore/chai-point-1-jp-nagar-bangalore,"Tea, Fast Food, Street Food, Beverages",9.20E+11,150
Sri Udupi Food Hub,https://www.zomato.com/bangalore/sri-udupi-food-hub-1-jayanagar-bangalore,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages",9.20E+11,800
Krispy Kreme,https://www.zomato.com/bangalore/krispy-kreme-bannerghatta-road-bangalore,"Desserts, Beverages",9.19E+11,400
Snack House,https://www.zomato.com/bangalore/snack-house-jp-nagar-bangalore,"Fast Food, Momos, Street Food",9.18E+11,150
Chaayos Chai+Snacks=Relax,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-jp-nagar-bangalore,Beverages,9.20E+11,200
Mad Over Donuts,https://www.zomato.com/bangalore/mad-over-donuts-1-bannerghatta-road-bangalore,"Desserts, Beverages",9.18E+11,250
Baskin Robbins,https://www.zomato.com/bangalore/baskin-robbins-1-jp-nagar-bangalore,"Ice Cream, Desserts, Beverages",9.18E+11,400
Bangarpet Chats,https://www.zomato.com/bangalore/bangarpet-chats-kanakapura-road-bangalore,Street Food,9.17E+11,150
Yumlane Pizza,https://www.zomato.com/bangalore/yumlane-pizza-btm-bangalore,"Pizza, Fast Food, Desserts, Beverages",9.19E+11,250
Paakashala,https://www.zomato.com/bangalore/paakashala-1-jp-nagar-bangalore,"South Indian, Street Food, Chinese, Fast Food, Ice Cream, Beverages",9.19E+11,250
Rolls On Wheels,https://www.zomato.com/bangalore/rolls-on-wheels-jp-nagar,"Rolls, Chinese, North Indian",9.18E+11,300
Ice Corner,https://www.zomato.com/bangalore/ice-corner-jp-nagar-bangalore,"Desserts, Ice Cream, Beverages, Shake",9.20E+11,100
Smoor,https://www.zomato.com/bangalore/smoor-bannerghatta-road-bangalore,"Desserts, Cafe, Pizza, Asian, Thai, Italian, Beverages, Shake",9.18E+11,900
Zomoz - The Momo Company,https://www.zomato.com/bangalore/zomoz-the-momo-company-bannerghatta-road-bangalore,"Momos, Fast Food",9.19E+11,200
Starbucks Coffee,https://www.zomato.com/bangalore/starbucks-coffee-jp-nagar-bangalore,"Coffee, Desserts, Beverages",9.19E+11,600
Donne Biriyani Mane,https://www.zomato.com/bangalore/donne-biriyani-mane-banashankari-bangalore,"Biryani, North Indian, Chinese, Maharashtrian, Fast Food, Seafood, Beverages",9.20E+11,450
Paratha Envy,https://www.zomato.com/bangalore/paratha-envy-jp-nagar-bangalore,"North Indian, Fast Food",9.18E+11,150
Chaat Street,https://www.zomato.com/bangalore/chaat-street-jp-nagar-bangalore,"Street Food, Fast Food, North Indian, Beverages",9.19E+11,100
Barbeque Nation,https://www.zomato.com/bangalore/barbeque-nation-jp-nagar,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages",9.18E+11,1600
Kaati Zone Rolls And Wraps,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-1-btm-bangalore,"Rolls, Sandwich",9.18E+11,150
Keventers - Milkshakes & Desserts,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-jp-nagar-bangalore,"Beverages, Ice Cream, Desserts, Shake",9.18E+11,250
Cupcake Bliss Cakes & Desserts,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-btm-bangalore,"Bakery, Desserts",9.18E+11,300
ibaco,https://www.zomato.com/bangalore/ibaco-jp-nagar-bangalore,Desserts,9.19E+11,250
Absolute Shawarma,https://www.zomato.com/bangalore/absolute-shawarma-jp-nagar-bangalore,Lebanese,9.20E+11,200
Empire Juices And Ice Creams,https://www.zomato.com/bangalore/empire-juices-and-ice-creams-btm-bangalore,"Shake, Ice Cream, Desserts, Beverages",9.18E+11,100
Udupi Upahar,https://www.zomato.com/bangalore/udupi-upahar-3-kanakapura-road-bangalore,"South Indian, Chinese, North Indian, Beverages",9.19E+11,350
Great Indian Khichdi,https://www.zomato.com/bangalore/great-indian-khichdi-jp-nagar-bangalore,"Healthy Food, Beverages",9.18E+11,150
The Dessert Zone,https://www.zomato.com/bangalore/the-dessert-zone-btm-bangalore,"Desserts, Bakery",9.18E+11,200
New Kabab Zone,https://www.zomato.com/bangalore/new-kabab-zone-1-bannerghatta-road,"North Indian, Chinese, BBQ",9.19E+11,400
Juice Junction,https://www.zomato.com/bangalore/juice-junction-jp-nagar,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food",9.17E+11,50
Momo Monk,https://www.zomato.com/bangalore/momo-monk-jp-nagar-bangalore,Momos,9.18E+11,150
Momo Zone - The Momo Company,https://www.zomato.com/bangalore/momo-zone-the-momo-company-btm-bangalore,"Momos, Fast Food",9.18E+11,150
Kolkata Famous Kati Roll,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-bannerghatta-road-bangalore,Rolls,9.18E+11,200
Chef Baker's,https://www.zomato.com/bangalore/chef-bakers-kanakapura-road-bangalore,"Bakery, Desserts, Fast Food, Beverages",9.19E+11,300
Biryani By Kilo,https://www.zomato.com/bangalore/biryani-by-kilo-kanakapura-road-bangalore,"Biryani, Kebab, Mughlai, Hyderabadi",9.20E+11,150
Big Bowl Company,https://www.zomato.com/bangalore/big-bowl-company-kumaraswamy-layout-bangalore,"North Indian, Chinese, Biryani, Fast Food, Momos",9.18E+11,200
Aligarh House,https://www.zomato.com/bangalore/aligarh-house-jp-nagar-bangalore,"Biryani, North Indian, Kebab, Desserts, Beverages",9.19E+11,250
Cafe Coffee Day,https://www.zomato.com/bangalore/cafe-coffee-day-6-jp-nagar,"Coffee, Fast Food, Desserts, Beverages",9.20E+11,600
Krishna Kuteera,https://www.zomato.com/bangalore/krishna-kuteera-2-bannerghatta-road-bangalore,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages, Desserts, Shake",9.19E+11,400
Adiga's,https://www.zomato.com/bangalore/adigas-1-bannerghatta-road-bangalore,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",9.18E+11,150
Ghee And Turmeric,https://www.zomato.com/bangalore/ghee-and-turmeric-jp-nagar-bangalore,"North Indian, Mughlai",9.20E+11,350
Udupi Upahar,https://www.zomato.com/bangalore/udupi-upahar-4-kanakapura-road-bangalore,"South Indian, Chinese, North Indian, Street Food, Ice Cream, Beverages, Shake",9.20E+11,400
Krishnam Udupi Hotel,https://www.zomato.com/bangalore/krishnam-udupi-hotel-kanakapura-road-bangalore,"South Indian, North Indian, Street Food, Desserts, Fast Food, Chinese, Beverages, Shake",9.17E+11,600
SLV Reddy Military Hotel,https://www.zomato.com/bangalore/slv-reddy-military-hotel-jp-nagar-bangalore,"Biryani, South Indian, North Indian",9.19E+11,350
FB Cakes,https://www.zomato.com/bangalore/fb-cakes-jp-nagar-bangalore,Bakery,9.20E+11,350
Friendly Neighbourhood Pizza-Man,https://www.zomato.com/bangalore/friendly-neighbourhood-pizza-man-jp-nagar-bangalore,"Pizza, Fast Food, Desserts, Beverages",9.19E+11,400
Sweet Chariot,https://www.zomato.com/bangalore/sweet-chariot-bannerghatta-road,"Bakery, Desserts",9.18E+11,400
Khan Saheb Grills And Rolls,https://www.zomato.com/bangalore/khan-saheb-grills-and-rolls-jp-nagar-bangalore,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages",9.19E+11,500
Krishna Kuteera,https://www.zomato.com/bangalore/krishna-kuteera-1-bommanahalli-bangalore,"South Indian, North Indian, Chinese, Ice Cream, Street Food, Beverages",9.19E+11,350
Indiana Burgers,https://www.zomato.com/bangalore/indiana-burgers-btm-bangalore,Burger,9.18E+11,200
Third Wave Coffee,https://www.zomato.com/bangalore/third-wave-coffee-jp-nagar-bangalore,"Coffee, Fast Food, Desserts, Tea, Beverages",9.17E+11,400
SL Vadapav,https://www.zomato.com/bangalore/sl-vadapav-1-jayanagar-bangalore,"Fast Food, Street Food",9.20E+11,200
Stop N Joy,https://www.zomato.com/bangalore/stop-n-joy-kanakapura-road,"Fast Food, Street Food, Burger, Sandwich, Shake, Beverages",9.20E+11,200
Bawarchi Biriyani Paradise,https://www.zomato.com/bangalore/bawarchi-biriyani-paradise-banashankari-bangalore,"Biryani, North Indian, Chinese, Fast Food",9.20E+11,150
Swad Puneri,https://www.zomato.com/bangalore/swad-puneri-jp-nagar-bangalore,"Maharashtrian, North Indian",9.20E+11,100
UBQ By Barbeque Nation,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-jp-nagar-bangalore,"North Indian, Kebab, BBQ, Biryani",9.17E+11,250
Bombay Kulfi,https://www.zomato.com/bangalore/bombay-kulfi-jayanagar,"Ice Cream, Desserts",9.20E+11,300
SLAY Coffee,https://www.zomato.com/bangalore/slay-coffee-bannerghatta-road-bangalore,"Beverages, Coffee",9.18E+11,150
Bhavya Military Hotel,https://www.zomato.com/bangalore/bhavya-military-hotel-bannerghatta-road,"South Indian, North Indian",9.19E+11,300
The Brooklyn Creamery - Healthy Ice Cream,https://www.zomato.com/bangalore/the-brooklyn-creamery-healthy-ice-cream-1-jp-nagar-bangalore,Ice Cream,9.20E+11,200
Melting Cheese,https://www.zomato.com/bangalore/melting-cheese-kanakapura-road-bangalore,"Pizza, Street Food, Fast Food",9.19E+11,300
Bullet Biryani,https://www.zomato.com/bangalore/bullet-biryani-jp-nagar-bangalore,"Biryani, Kebab, Andhra",9.18E+11,150
Lassi Corner,https://www.zomato.com/bangalore/lassi-corner-1-bannerghatta-road-bangalore,"Beverages, Desserts, Fast Food, Ice Cream, Shake",9.20E+11,250
Gajanan Mithai Ghar,https://www.zomato.com/bangalore/gajanan-mithai-ghar-bannerghatta-road,"Mithai, Street Food",9.20E+11,100
Upahara Bhavan,https://www.zomato.com/bangalore/upahara-bhavan-bannerghatta-road,"South Indian, North Indian, Chinese, Shake",9.18E+11,300
Rajanna Military Hotel,https://www.zomato.com/bangalore/rajanna-military-hotel-jp-nagar-bangalore,"South Indian, Chinese",9.20E+11,200
BigBites,https://www.zomato.com/bangalore/bigbites-jp-nagar-bangalore,"Street Food, Fast Food, Momos, North Indian",9.18E+11,200
Chickpet Donne Biryani House,https://www.zomato.com/bangalore/chickpet-donne-biryani-house-kanakapura-road-bangalore,"Biryani, South Indian, Chinese",9.20E+11,400
Keventers Ice Cream,https://www.zomato.com/bangalore/keventers-ice-cream-jp-nagar-bangalore,"Ice Cream, Desserts",9.18E+11,200
Eat N Drink,https://www.zomato.com/bangalore/eat-n-drink-kumaraswamy-layout,"Fast Food, Sandwich, Burger, Wraps, Rolls, Shake, Juices, Beverages",9.19E+11,100
IBC (Indian Biryani Company),https://www.zomato.com/bangalore/ibc-indian-biryani-company-1-btm-bangalore,"Biryani, North Indian, Mughlai",9.18E+11,300
SGS Non Veg - Gundu Pulav,https://www.zomato.com/bangalore/sgs-non-veg-gundu-pulav-bannerghatta-road,South Indian,9.20E+11,300
Arun Icecreams,https://www.zomato.com/bangalore/arun-icecreams-bannerghatta-road-bangalore,"Desserts, Ice Cream",9.20E+11,50
Buzz A Pizza Wood-Fired Oven Pizza,https://www.zomato.com/bangalore/buzz-a-pizza-wood-fired-oven-pizza-jp-nagar-bangalore,Pizza,9.19E+11,200
New Donne Biryani Mane,https://www.zomato.com/bangalore/new-donne-biryani-mane-kanakapura-road-bangalore,"Biryani, South Indian, Chinese, North Indian",9.18E+11,400
Food Court By Kitchens@,https://www.zomato.com/bangalore/food-court-by-kitchens@-jp-nagar-bangalore,"North Indian, South Indian, Chinese, Mughlai, Biryani, Momos, Desserts, Beverages",9.20E+11,150
Agarwal's Sweets And Snacks,https://www.zomato.com/bangalore/agarwals-sweets-and-snacks-bannerghatta-road-bangalore,"Fast Food, Street Food, North Indian, Chinese, Beverages, Mithai",9.19E+11,300
The Momo Co.,https://www.zomato.com/bangalore/the-momo-co-kumaraswamy-layout-bangalore,"Chinese, Momos, Desserts, Beverages",9.18E+11,200
Maharaja Military Canteen,https://www.zomato.com/bangalore/maharaja-military-canteen-jp-nagar-bangalore,"South Indian, Biryani",9.18E+11,200
Bunts Bangarapet Chats,https://www.zomato.com/bangalore/bunts-bangarapet-chats-kanakapura-road-bangalore,Street Food,9.20E+11,100
KC Das,https://www.zomato.com/bangalore/kc-das-kanakapura-road-bangalore,"Mithai, Desserts, Street Food",9.20E+11,50
Bombay Kulfis,https://www.zomato.com/bangalore/bombay-kulfis-jp-nagar-bangalore,"Desserts, Ice Cream",9.20E+11,200
Tiwari's,https://www.zomato.com/bangalore/tiwaris-2-banashankari,"North Indian, Rajasthani, Street Food",9.20E+11,300
Si Pizza,https://www.zomato.com/bangalore/si-pizza-jp-nagar-bangalore,"Fast Food, Desserts",9.18E+11,150
Sri Sai 99 Variety Dosa,https://www.zomato.com/bangalore/sri-sai-99-variety-dosa-bannerghatta-road,"South Indian, Rolls",9.19E+11,100
Isiri Cafe,https://www.zomato.com/bangalore/isiri-cafe-bannerghatta-road-bangalore,"South Indian, Chinese, Street Food",9.18E+11,350
Khichdi Express,https://www.zomato.com/bangalore/khichdi-express-bommanahalli-bangalore,North Indian,9.18E+11,150
Kouzina Kafe - The Food Court,https://www.zomato.com/bangalore/kouzina-kafe-the-food-court-1-btm-bangalore,"Fast Food, Bakery, Desserts",9.18E+11,200
Vadapav,https://www.zomato.com/bangalore/vadapav-kanakapura-road-bangalore,"Street Food, Fast Food, Ice Cream",9.19E+11,200
Rajasthani Sweets & Snacks,https://www.zomato.com/bangalore/rajasthani-sweets-snacks-kanakapura-road-bangalore,"North Indian, Street Food, Desserts, Beverages",9.20E+11,150
Ammachiyude Adukkala,https://www.zomato.com/bangalore/ammachiyude-adukkala-bannerghatta-road-bangalore,South Indian,9.19E+11,250
The Baker's Dozen,https://www.zomato.com/bangalore/the-bakers-dozen-bannerghatta-road-bangalore,"Bakery, Desserts",9.18E+11,150
World On A Swirl,https://www.zomato.com/bangalore/world-on-a-swirl-btm-bangalore,"Ice Cream, Desserts, Momos, Beverages",9.20E+11,200
ITC Master Chef Creations,https://www.zomato.com/bangalore/itc-master-chef-creations-jp-nagar-bangalore,"North Indian, Mughlai, Mediterranean, Desserts",9.18E+11,350
Aadam's  Ruchikoottu,https://www.zomato.com/bangalore/aadams-ruchikoottu-bannerghatta-road-bangalore,"South Indian, Kerala, Beverages, Fast Food, North Indian, Seafood, Biryani, Ice Cream",9.19E+11,400
The Sugar Free Keto Kafe - By Artinci,https://www.zomato.com/bangalore/the-sugar-free-keto-kafe-by-artinci-1-bannerghatta-road-bangalore,"Bakery, Desserts, Ice Cream",9.19E+11,150
Burger Friendz,https://www.zomato.com/bangalore/burger-friendz-jp-nagar-bangalore,"Burger, Fast Food",9.18E+11,150
Gowdru Baduta,https://www.zomato.com/bangalore/gowdru-baduta-kanakapura-road-bangalore,"South Indian, Biryani",9.20E+11,400
Dessert Crunch,https://www.zomato.com/bangalore/dessert-crunch-kanakapura-road-bangalore,"Desserts, Shake, Coffee, Beverages, Sandwich",9.20E+11,300
Ambur Star Dum Biryani,https://www.zomato.com/bangalore/ambur-star-dum-biryani-jp-nagar-bangalore,Biryani,9.20E+11,200
Tata Cha now Qmin,https://www.zomato.com/bangalore/tata-cha-now-qmin-jp-nagar-bangalore,"Tea, Beverages, Street Food, Shake",18001208242,300
Pizza 997 AD,https://www.zomato.com/bangalore/pizza-997-ad-bannerghatta-road-bangalore,"Pizza, Fast Food, Desserts",9.19E+11,350
Gupshup,https://www.zomato.com/bangalore/gupshup-bannerghatta-road-bangalore,"Chinese, Modern Indian, Continental, Burger",9.19E+11,400
Madhan Soudhe Ole Fish Tawa Fry,https://www.zomato.com/bangalore/madhan-soudhe-ole-fish-tawa-fry-banashankari-bangalore,Seafood,9.20E+11,150
Mom's Cafe,https://www.zomato.com/bangalore/moms-cafe-jp-nagar-bangalore,"Fast Food, Sandwich, Pizza, Street Food, Shake",9.19E+11,200
Rolls & Lassi Corner,https://www.zomato.com/bangalore/rolls-lassi-corner-kanakapura-road-bangalore,"Fast Food, Street Food, Desserts, Beverages",9.16E+11,50
Sundae Everyday Ice Creams,https://www.zomato.com/bangalore/sundae-everyday-ice-creams-btm-bangalore,"Ice Cream, Shake",9.18E+11,150
Dairy Day Ice Creams,https://www.zomato.com/bangalore/dairy-day-ice-creams-kanakapura-road-bangalore,Ice Cream,9.20E+11,100
Puzhayoram,https://www.zomato.com/bangalore/puzhayoram-1-bannerghatta-road-bangalore,Kerala,9.18E+11,150
Aramane Donne Biriyani,https://www.zomato.com/bangalore/aramane-donne-biriyani-1-banashankari-bangalore,"Kebab, Biryani",9.17E+11,300
Home Plate by EatFit,https://www.zomato.com/bangalore/home-plate-by-eatfit-jp-nagar-bangalore,"North Indian, Beverages",9.18E+11,150
Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-2-uttarahalli-bangalore,"Fast Food, Roast Chicken",9.17E+11,300
ITC Sunfeast Baked Creations,https://www.zomato.com/bangalore/itc-sunfeast-baked-creations-jp-nagar-bangalore,"Bakery, Desserts, Sandwich",9.16E+11,250
Vadilal Ice Cream,https://www.zomato.com/bangalore/vadilal-ice-cream-btm-bangalore,"Ice Cream, Desserts",9.18E+11,100
Sree Ganesha Fruits & Juice,https://www.zomato.com/bangalore/sree-ganesha-fruits-juice-bannerghatta-road-bangalore,"Juices, Shake",9.20E+11,50
Fabelle Chocolates,https://www.zomato.com/bangalore/fabelle-chocolates-jp-nagar-bangalore,"Desserts, Bakery",9.16E+11,400
The Chaats Factory,https://www.zomato.com/bangalore/the-chaats-factory-1-banashankari-bangalore,"Street Food, Beverages",9.20E+11,200
Hotel New Tandoori Point,https://www.zomato.com/bangalore/hotel-new-tandoori-point-1-bannerghatta-road-bangalore,"North Indian, Chinese, Biryani",9.19E+11,100
Ayesha's Kitchen,https://www.zomato.com/bangalore/ayeshas-kitchen-bannerghatta-road-bangalore,Biryani,9.19E+11,150
Just Delicious,https://www.zomato.com/bangalore/just-delicious-bannerghatta-road-bangalore,"North Indian, Street Food, Desserts, Beverages",9.18E+11,300
Burger It Up,https://www.zomato.com/bangalore/burger-it-up-1-btm-bangalore,Burger,9.18E+11,200
Mugs N Burgers,https://www.zomato.com/bangalore/mugs-n-burgers-bommanahalli-bangalore,"Fast Food, Chinese, Italian, Desserts, Beverages, Burger, Shake",9.18E+11,200
Bathinda Junction,https://www.zomato.com/bangalore/bathinda-junction-1-btm,"North Indian, Chinese, Mughlai, Desserts, Beverages",9.20E+11,400
Sri SLV Bhavan,https://www.zomato.com/bangalore/sri-slv-bhavan-bannerghatta-road-bangalore,"South Indian, Chinese, North Indian, Beverages, Street Food",9.20E+11,400
Sri Banashankari Donne Biriyani,https://www.zomato.com/bangalore/sri-banashankari-donne-biriyani-kanakapura-road-bangalore,"Andhra, Biryani",9.18E+11,400
Mane Holige Kuruku Thindi,https://www.zomato.com/bangalore/mane-holige-kuruku-thindi-banashankari-bangalore,Mithai,9.19E+11,50
Rice Noodles,https://www.zomato.com/bangalore/rice-noodles-btm-bangalore,"Chinese, Fast Food",9.18E+11,250
Sri Ram Sweets Centre,https://www.zomato.com/bangalore/sri-ram-sweets-centre-bannerghatta-road-bangalore,"Mithai, Street Food, Chinese, North Indian, Rajasthani",9.20E+11,300
McCafe by McDonald's,https://www.zomato.com/bangalore/mccafe-by-mcdonalds-bannerghatta-road-bangalore,"Coffee, Desserts, Beverages",9.18E+11,150
Slurpy Shakes,https://www.zomato.com/bangalore/slurpy-shakes-btm-bangalore,"Beverages, Burger, Fast Food, Bakery, Shake",9.18E+11,200
Thanco's Natural Ice Cream,https://www.zomato.com/bangalore/thancos-natural-ice-cream-jp-nagar-bangalore,"Ice Cream, Beverages",9.18E+11,400
Tasty Thindi,https://www.zomato.com/bangalore/tasty-thindi-bannerghatta-road-bangalore,South Indian,9.20E+11,250
Maruthi Davangere Benne Dosa,https://www.zomato.com/bangalore/maruthi-davangere-benne-dosa-banashankari-bangalore,South Indian,9.19E+11,150
Raju Gari Biryani,https://www.zomato.com/bangalore/raju-gari-biryani-bannerghatta-road-bangalore,"Biryani, Andhra, Chinese, North Indian",9.18E+11,500
K K Bakers,https://www.zomato.com/bangalore/k-k-bakers-bannerghatta-road-bangalore,"Bakery, Desserts, Street Food",9.20E+11,300
Hotel Rotti Uta,https://www.zomato.com/bangalore/hotel-rotti-uta-bannerghatta-road-bangalore,South Indian,9.20E+11,200
Pawan Sweets,https://www.zomato.com/bangalore/pawan-sweets-bommanahalli-bangalore,"Mithai, Street Food",9.17E+11,600
Shiv Sai Hotel,https://www.zomato.com/bangalore/shiv-sai-hotel-bannerghatta-road-bangalore,"North Indian, Chinese, South Indian",9.20E+11,400
The Indian Rasoi,https://www.zomato.com/bangalore/the-indian-rasoi-jp-nagar-bangalore,"Chinese, North Indian, Street Food, South Indian, Beverages",9.19E+11,250
Dilli Chat Desi Swad,https://www.zomato.com/bangalore/dilli-chat-desi-swad-bannerghatta-road-bangalore,"Fast Food, Street Food, Beverages",9.20E+11,100
Sips N Bites,https://www.zomato.com/bangalore/sips-n-bites-bannerghatta-road-bangalore,"Beverages, Shake, Juices, Coffee, North Indian, Chinese, Ice Cream, Desserts",9.20E+11,400
Veruthe Oru Thattukada,https://www.zomato.com/bangalore/veruthe-oru-thattukada-bannerghatta-road,"Kerala, South Indian",9.20E+11,300
Couch Tato,https://www.zomato.com/bangalore/couch-tato-btm-bangalore,Fast Food,9.20E+11,50
Mother's Rasoi Family Restaurant,https://www.zomato.com/bangalore/mothers-rasoi-family-restaurant-bannerghatta-road,"North Indian, Chinese",9.20E+11,200
Choi Choi Momos,https://www.zomato.com/bangalore/choi-choi-momos-1-bommanahalli-bangalore,"Chinese, Momos, Rolls",9.17E+11,300
Rotti Mane,https://www.zomato.com/bangalore/rotti-mane-bommanahalli-bangalore,South Indian,9.18E+11,200
Shree Guru Kottureshwara  Davanagere Benne Dosa Hotel,https://www.zomato.com/bangalore/shree-guru-kottureshwara-davanagere-benne-dosa-hotel-bannerghatta-road-bangalore,"South Indian, North Indian, Beverages",9.16E+11,100
Anna Thamma Hotel,https://www.zomato.com/bangalore/anna-thamma-hotel-banashankari-bangalore,"South Indian, Mughlai, Tamil",9.20E+11,200
Snakiez,https://www.zomato.com/bangalore/snakiez-btm-bangalore,"Burger, Fast Food",9.19E+11,150
Just Cakes,https://www.zomato.com/bangalore/just-cakes-1-btm-bangalore,"Bakery, Desserts",9.20E+11,250
KKR Grill And Shawarma,https://www.zomato.com/bangalore/kkr-grill-and-shawarma-jp-nagar-bangalore,"North Indian, Mughlai, Biryani, Chinese",9.17E+11,450
AL-Madina Chicken Biryani Hotel,https://www.zomato.com/bangalore/al-madina-chicken-biryani-hotel-bannerghatta-road-bangalore,"Biryani, Kebab, South Indian",9.20E+11,200
